V;t
290;2042
290;2044
290;2046
291;2048
290;2050
291;2052
291;2054
291;2056
291;2058
291;2060
291;2062
292;2064
292;2066
294;2068
292;2070
292;2072
292;2074
292;2076
292;2078
292;2080
293;2082
292;2084
292;2086
293;2088
292;2091
292;2093
293;2095
294;2097
293;2099
293;2101
293;2103
294;2105
294;2107
293;2109
294;2111
294;2113
292;2115
294;2117
294;2119
295;2121
295;2123
294;2125
295;2127
295;2129
295;2131
295;2134
295;2136
294;2138
294;2140
295;2142
295;2144
295;2146
294;2148
295;2150
295;2152
295;2154
295;2156
296;2158
296;2160
294;2162
296;2164
296;2166
296;2168
296;2170
301;2172
297;2174
297;2176
298;2178
297;2180
298;2182
298;2184
299;2186
300;2188
301;2190
301;2192
302;2194
301;2196
302;2198
302;2200
301;2202
302;2204
302;2206
301;2208
301;2210
301;2212
301;2214
300;2216
299;2219
300;2221
300;2223
297;2225
299;2227
299;2229
299;2231
298;2233
296;2235
298;2237
298;2239
298;2241
297;2243
297;2245
298;2247
298;2249
297;2251
297;2253
297;2255
296;2257
296;2259
295;2262
294;2264
292;2266
290;2268
288;2270
285;2272
285;2274
283;2276
281;2278
281;2280
285;2282
283;2284
285;2286
289;2288
296;2290
304;2292
316;2294
329;2296
344;2298
360;2300
376;2302
384;2304
400;2306
417;2308
431;2310
443;2312
452;2314
457;2316
458;2318
454;2320
448;2322
442;2324
433;2326
426;2328
420;2330
414;2332
406;2334
404;2336
398;2338
393;2340
388;2342
382;2344
378;2347
373;2349
366;2351
362;2353
357;2355
351;2357
346;2359
342;2361
337;2363
333;2365
328;2367
325;2369
320;2371
316;2373
313;2375
310;2377
307;2379
303;2381
300;2383
298;2385
296;2387
293;2390
293;2392
288;2394
286;2396
284;2398
282;2400
280;2402
279;2404
278;2406
276;2408
275;2410
274;2412
273;2414
271;2416
270;2418
270;2420
269;2422
269;2424
268;2426
268;2428
267;2430
267;2432
266;2434
266;2436
266;2438
266;2440
266;2442
264;2444
266;2446
266;2448
267;2450
266;2452
266;2454
267;2456
268;2458
268;2460
268;2462
268;2464
269;2466
270;2468
271;2470
272;2472
272;2475
274;2477
274;2479
274;2481
276;2483
276;2485
277;2487
278;2489
278;2491
281;2493
281;2495
283;2497
284;2499
287;2501
286;2503
288;2505
290;2507
290;2509
292;2511
294;2513
295;2515
297;2518
299;2520
300;2522
302;2524
304;2526
305;2528
308;2530
310;2532
312;2534
314;2536
315;2538
317;2540
319;2542
321;2544
323;2546
324;2548
326;2550
328;2552
329;2554
330;2556
332;2558
332;2560
334;2562
339;2564
337;2566
338;2568
338;2570
339;2572
339;2574
339;2576
338;2578
338;2580
337;2582
336;2584
334;2586
332;2588
330;2590
328;2592
326;2594
324;2596
322;2598
319;2600
316;2603
314;2605
312;2607
308;2609
308;2611
304;2613
301;2615
298;2617
296;2619
293;2621
292;2623
289;2625
288;2627
285;2629
283;2631
280;2633
279;2635
278;2637
276;2639
274;2641
273;2643
272;2646
271;2648
269;2650
268;2652
267;2654
266;2656
265;2658
265;2660
264;2662
263;2664
263;2666
262;2668
261;2670
261;2672
260;2674
260;2676
262;2678
259;2680
259;2682
258;2684
259;2686
259;2688
258;2690
259;2692
259;2694
258;2696
258;2698
259;2700
259;2702
259;2704
259;2706
259;2708
258;2710
259;2712
260;2714
260;2716
260;2718
261;2720
261;2722
261;2724
261;2726
261;2728
261;2731
262;2733
263;2735
263;2737
263;2739
264;2741
293;2
290;4
290;6
289;8
290;10
290;12
291;14
291;16
291;18
291;20
291;22
292;24
292;26
291;28
292;30
292;32
292;34
292;36
292;38
292;40
292;43
292;45
292;47
295;49
293;51
293;53
293;55
293;57
294;59
293;61
294;63
294;65
294;67
294;69
294;71
294;73
295;75
295;77
294;79
295;81
295;83
295;86
295;88
296;90
295;92
295;94
296;96
295;98
295;100
295;102
296;104
295;106
296;108
296;110
296;112
296;114
298;116
296;118
296;120
296;122
296;124
296;126
297;128
297;130
297;132
296;134
297;136
297;138
296;140
296;142
297;144
297;146
296;148
297;150
296;152
296;154
296;156
298;158
297;160
297;162
297;164
297;166
298;168
297;171
298;173
298;175
298;177
298;179
298;181
298;183
298;185
298;187
300;189
300;191
301;193
302;195
301;197
302;199
303;201
302;203
303;205
303;207
303;209
303;211
303;214
302;216
302;218
302;220
302;222
302;224
303;226
301;228
301;230
300;232
300;234
300;236
300;238
299;240
300;242
299;244
298;246
298;248
298;250
298;252
298;254
297;256
296;258
297;260
296;262
297;264
296;266
297;268
295;270
293;272
291;274
289;276
288;278
285;280
283;282
281;284
279;286
278;288
277;290
278;292
279;294
283;296
287;299
296;301
306;303
318;305
332;307
347;309
363;311
378;313
395;315
411;317
425;319
437;321
447;323
453;325
455;327
454;329
450;331
443;333
436;335
431;337
425;339
421;342
416;344
410;346
406;348
400;350
395;352
389;354
383;356
377;358
371;360
365;362
359;364
354;366
348;368
343;370
338;372
334;374
329;376
324;378
320;380
313;382
313;384
309;386
306;388
302;390
298;392
296;394
293;396
289;398
287;400
284;402
281;404
279;406
276;408
275;410
273;412
270;414
270;416
268;418
265;420
265;422
263;424
262;427
261;429
260;431
258;433
258;435
257;437
256;439
256;441
256;443
254;445
255;447
255;449
254;451
254;453
254;455
254;457
254;459
254;461
254;463
254;465
254;467
255;470
255;472
255;474
256;476
256;478
257;480
258;482
258;484
259;486
259;488
260;490
258;492
261;494
262;496
263;498
264;500
262;502
266;504
267;506
268;508
269;510
270;512
271;514
272;516
273;518
275;520
276;522
278;524
279;526
281;528
282;530
284;532
286;534
287;536
289;538
290;540
292;542
294;544
296;546
297;548
300;550
301;552
300;555
304;557
306;559
308;561
309;563
311;565
313;567
314;569
315;571
316;573
317;575
319;577
319;579
320;581
321;583
321;585
320;587
320;589
319;591
318;593
318;595
316;598
315;600
310;602
311;604
309;606
307;608
304;610
303;612
300;614
298;616
295;618
293;620
290;622
287;624
285;626
283;628
281;630
279;632
276;634
274;636
272;638
271;640
269;642
268;644
266;646
264;648
263;650
261;652
260;654
258;656
257;658
256;660
255;662
252;664
253;666
253;668
251;670
251;672
250;674
250;676
249;678
249;680
248;683
248;685
248;687
247;689
248;691
247;693
247;695
247;697
247;699
247;701
246;703
247;705
247;707
247;709
245;711
247;713
247;715
248;717
248;719
251;721
248;723
249;726
249;728
249;730
249;732
249;734
250;736
250;738
251;740
251;742
252;744
252;746
252;748
252;750
253;752
253;754
254;756
253;758
254;760
254;762
255;764
256;766
256;768
256;770
257;772
255;774
257;776
257;778
258;780
259;782
259;784
259;786
260;788
261;790
260;792
261;794
261;796
262;798
262;800
262;802
263;804
263;806
263;808
264;811
265;813
264;815
265;817
265;819
265;821
266;823
267;825
267;827
267;829
272;831
269;833
269;835
270;837
270;839
270;841
271;843
270;845
272;847
272;849
272;851
273;854
272;856
273;858
273;860
274;862
275;864
275;866
276;868
276;870
276;872
277;874
278;876
279;878
278;880
279;882
279;884
279;886
280;888
280;890
281;892
281;894
281;896
282;898
282;900
282;902
283;904
283;906
283;908
284;910
285;912
285;914
285;916
285;918
286;920
286;922
287;924
287;926
288;928
286;930
288;932
288;934
289;936
289;939
293;941
290;943
290;945
291;947
291;949
292;951
292;953
292;955
293;957
293;959
293;961
294;963
294;965
294;967
294;969
295;971
296;973
296;975
296;977
296;979
297;982
298;984
297;986
299;988
298;990
299;992
299;994
300;996
299;998
300;1000
300;1002
301;1004
301;1006
301;1008
302;1010
302;1012
303;1014
302;1016
303;1018
303;1020
304;1022
304;1024
304;1026
305;1028
304;1030
306;1032
305;1034
306;1036
306;1038
306;1040
307;1042
307;1044
307;1046
307;1048
311;1050
309;1052
309;1054
309;1056
309;1058
309;1060
310;1062
310;1064
311;1067
311;1069
311;1071
311;1073
311;1075
311;1077
312;1079
312;1081
313;1083
313;1085
313;1087
314;1089
314;1091
314;1093
315;1095
315;1097
315;1099
316;1101
316;1103
316;1105
317;1107
318;1110
319;1112
320;1114
320;1116
321;1118
321;1120
323;1122
322;1124
323;1126
324;1128
324;1130
324;1132
324;1134
324;1136
324;1138
324;1140
323;1142
324;1144
324;1146
324;1148
323;1150
323;1152
323;1154
323;1156
322;1158
325;1160
323;1162
323;1164
322;1166
322;1168
322;1170
323;1172
323;1174
323;1176
323;1178
323;1180
322;1182
322;1184
322;1186
321;1188
320;1190
319;1192
317;1195
315;1197
313;1199
311;1201
310;1203
308;1205
308;1207
307;1209
308;1211
310;1213
312;1215
317;1217
324;1219
334;1221
345;1223
359;1225
374;1227
388;1229
404;1231
420;1233
436;1235
451;1238
464;1240
474;1242
479;1244
482;1246
481;1248
477;1250
469;1252
463;1254
457;1256
451;1258
445;1260
440;1262
435;1264
430;1266
425;1268
420;1270
415;1272
406;1274
404;1276
398;1278
396;1280
391;1282
385;1284
381;1286
376;1288
371;1290
366;1292
362;1294
358;1296
354;1298
350;1300
347;1302
343;1304
340;1306
337;1308
333;1310
330;1312
328;1314
326;1316
323;1318
321;1320
318;1323
317;1325
315;1327
313;1329
311;1331
310;1333
308;1335
308;1337
305;1339
304;1341
303;1343
302;1345
301;1347
301;1349
300;1351
299;1353
298;1355
297;1357
297;1359
297;1361
297;1363
297;1366
297;1368
296;1370
296;1372
296;1374
297;1376
296;1378
296;1380
297;1382
294;1384
297;1386
297;1388
298;1390
298;1392
298;1394
299;1396
300;1398
300;1400
300;1402
301;1404
301;1406
303;1408
303;1410
304;1412
304;1414
305;1416
306;1418
307;1420
308;1422
309;1424
310;1426
311;1428
312;1430
313;1432
314;1434
316;1436
317;1438
318;1440
320;1442
321;1444
323;1446
324;1448
325;1451
327;1453
328;1455
331;1457
332;1459
334;1461
335;1463
336;1465
338;1467
340;1469
341;1471
343;1473
345;1475
347;1477
348;1479
350;1481
351;1483
352;1485
353;1487
355;1489
356;1491
355;1494
358;1496
359;1498
359;1500
360;1502
358;1504
360;1506
360;1508
359;1510
357;1512
357;1514
355;1516
353;1518
352;1520
350;1522
348;1524
346;1526
343;1528
341;1530
338;1532
335;1534
334;1536
332;1538
329;1540
326;1542
324;1544
321;1546
319;1548
316;1550
314;1552
312;1554
309;1556
307;1558
306;1560
303;1562
302;1564
299;1566
298;1568
296;1570
295;1572
293;1574
292;1576
290;1579
289;1581
288;1583
287;1585
286;1587
285;1589
284;1591
284;1593
283;1595
282;1597
282;1599
281;1601
278;1603
279;1605
279;1607
279;1609
279;1611
277;1613
278;1615
278;1617
278;1619
277;1622
277;1624
277;1626
277;1628
277;1630
277;1632
277;1634
277;1636
277;1638
277;1640
278;1642
277;1644
278;1646
278;1648
277;1650
278;1652
278;1654
279;1656
278;1658
281;1660
279;1662
279;1664
276;1666
279;1668
279;1670
280;1672
280;1674
279;1676
280;1678
280;1680
281;1682
281;1684
281;1686
281;1688
281;1690
282;1692
282;1694
282;1696
282;1698
282;1700
282;1702
283;1704
284;1707
283;1709
283;1711
281;1713
283;1715
283;1717
284;1719
284;1721
285;1723
284;1725
284;1727
284;1729
284;1731
284;1733
285;1735
285;1737
285;1739
285;1741
285;1743
285;1745
285;1747
285;1750
285;1752
285;1754
286;1756
286;1758
286;1760
286;1762
286;1764
286;1766
287;1768
288;1770
287;1772
287;1774
287;1776
287;1778
287;1780
287;1782
287;1784
287;1786
287;1788
287;1790
287;1792
287;1794
287;1796
287;1798
287;1800
288;1802
288;1804
288;1806
287;1808
288;1810
288;1812
288;1814
288;1816
288;1818
289;1820
286;1822
289;1824
288;1826
289;1828
289;1830
293;1832
289;1835
289;1837
289;1839
289;1841
289;1843
289;1845
290;1847
290;1849
290;1851
290;1853
289;1855
289;1857
289;1859
290;1861
290;1863
290;1865
290;1867
289;1869
290;1871
290;1873
290;1875
290;1878
292;1880
291;1882
291;1884
291;1886
291;1888
291;1890
291;1892
290;1894
291;1896
291;1898
291;1900
291;1902
291;1904
290;1906
291;1908
290;1910
291;1912
291;1914
291;1916
291;1918
290;1920
291;1922
291;1924
291;1926
292;1928
292;1930
289;1932
292;1934
292;1936
291;1938
291;1940
295;1942
291;1944
292;1946
292;1948
292;1950
292;1952
293;1954
292;1956
292;1958
293;1960
293;1963
292;1965
292;1967
293;1969
293;1971
294;1973
294;1975
295;1977
295;1979
296;1981
296;1983
296;1985
297;1987
298;1989
297;1991
297;1993
296;1995
296;1997
297;1999
296;2001
297;2003
296;2006
295;2008
295;2010
295;2012
295;2014
294;2016
294;2018
293;2020
293;2022
292;2024
292;2026
291;2028
291;2030
291;2032
291;2034
290;2036
290;2038
290;2040
289;2042
290;2044
290;2046
289;2048
289;2050
292;2052
288;2054
286;2056
284;2058
282;2060
280;2062
279;2064
277;2066
275;2068
273;2070
272;2072
271;2074
272;2076
273;2078
276;2080
282;2082
290;2084
300;2086
312;2088
326;2091
342;2093
358;2095
373;2097
391;2099
406;2101
421;2103
433;2105
442;2107
448;2109
450;2111
449;2113
444;2115
438;2117
432;2119
426;2121
419;2123
414;2125
410;2127
404;2129
400;2131
394;2134
389;2136
383;2138
377;2140
371;2142
365;2144
359;2146
354;2148
349;2150
343;2152
337;2154
333;2156
328;2158
324;2160
319;2162
315;2164
308;2166
306;2168
302;2170
300;2172
295;2174
294;2176
291;2178
288;2180
285;2182
282;2184
280;2186
277;2188
275;2190
274;2192
271;2194
269;2196
267;2198
266;2200
264;2202
263;2204
261;2206
261;2208
259;2210
259;2212
257;2214
256;2216
256;2219
256;2221
254;2223
254;2225
254;2227
255;2229
254;2231
253;2233
253;2235
253;2237
253;2239
253;2241
253;2243
253;2245
253;2247
254;2249
254;2251
254;2253
255;2255
255;2257
256;2259
256;2262
256;2264
258;2266
258;2268
259;2270
260;2272
261;2274
258;2276
262;2278
263;2280
263;2282
264;2284
265;2286
267;2288
268;2290
269;2292
270;2294
271;2296
273;2298
274;2300
276;2302
276;2304
278;2306
280;2308
280;2310
282;2312
284;2314
286;2316
288;2318
289;2320
291;2322
292;2324
295;2326
296;2328
298;2330
299;2332
302;2334
303;2336
306;2338
306;2340
