mV;time
287;2
287;4
285;6
284;8
285;10
285;12
286;14
287;16
288;18
288;20
289;22
287;24
286;26
286;28
286;30
287;32
288;34
289;36
289;38
290;40
289;43
289;45
287;47
287;49
288;51
289;53
290;55
291;57
291;59
291;61
291;63
290;65
289;67
289;69
290;71
291;73
292;75
293;77
293;79
293;81
292;83
291;86
290;88
290;90
291;92
292;94
293;96
293;98
294;100
294;102
293;104
291;106
290;108
291;110
292;112
293;114
294;116
295;118
295;120
295;122
294;124
293;126
293;128
292;130
293;132
294;134
295;136
295;138
296;140
296;142
295;144
294;146
293;148
293;150
295;152
295;154
295;156
296;158
296;160
296;162
295;164
294;166
293;168
293;171
294;173
295;175
296;177
296;179
297;181
296;183
295;185
294;187
293;189
294;191
295;193
296;195
297;197
297;199
297;201
297;203
296;205
295;207
295;209
296;211
297;214
298;216
299;218
300;220
300;222
299;224
298;226
297;228
297;230
298;232
299;234
300;236
300;238
301;240
300;242
299;244
297;246
296;248
296;250
297;252
297;254
297;256
297;258
297;260
297;262
296;264
294;266
293;268
293;270
293;272
294;274
295;276
295;278
295;280
295;282
293;284
292;286
291;288
291;290
292;292
292;294
293;296
293;299
294;301
293;303
291;305
290;307
290;309
290;311
290;313
291;315
292;317
292;319
292;321
290;323
288;325
285;327
283;329
282;331
281;333
280;335
281;337
281;339
282;342
284;344
287;346
291;348
298;350
306;352
314;354
322;356
330;358
336;360
341;362
343;364
343;366
342;368
339;370
338;372
336;374
334;376
331;378
328;380
325;382
324;384
320;386
317;388
315;390
314;392
314;394
313;396
312;398
311;400
309;402
307;404
304;406
302;408
301;410
300;412
300;414
299;416
299;418
298;420
297;422
295;424
293;427
291;429
290;431
291;433
291;435
291;437
291;439
291;441
290;443
288;445
287;447
286;449
286;451
287;453
287;455
287;457
288;459
288;461
287;463
285;465
284;467
283;470
284;472
285;474
285;476
286;478
287;480
287;482
286;484
285;486
284;488
284;490
285;492
285;494
286;496
287;498
287;500
287;502
286;504
285;506
284;508
284;510
285;512
286;514
287;516
288;518
288;520
289;522
288;524
287;526
286;528
286;530
287;532
288;534
289;536
290;538
291;540
291;542
290;544
289;546
288;548
289;550
290;552
291;555
292;557
293;559
294;561
294;563
293;565
292;567
291;569
292;571
294;573
295;575
296;577
297;579
297;581
298;583
297;585
296;587
296;589
297;591
298;593
300;595
301;598
302;600
302;602
302;604
301;606
300;608
300;610
301;612
303;614
303;616
304;618
305;620
305;622
304;624
303;626
302;628
302;630
303;632
304;634
304;636
305;638
304;640
304;642
303;644
302;646
300;648
299;650
299;652
300;654
300;656
300;658
300;660
299;662
298;664
296;666
294;668
294;670
294;672
294;674
295;676
295;678
294;680
294;683
292;685
291;687
289;689
289;691
289;693
290;695
290;697
290;699
290;701
290;703
288;705
287;707
286;709
286;711
286;713
287;715
288;717
288;719
288;721
287;723
286;726
285;728
284;730
284;732
285;734
286;736
287;738
287;740
287;742
286;744
285;746
285;748
284;750
285;752
286;754
287;756
287;758
288;760
288;762
287;764
286;766
285;768
285;770
285;772
286;774
287;776
288;778
289;780
289;782
289;784
287;786
286;788
286;790
287;792
288;794
288;796
290;798
290;800
290;802
289;804
288;806
287;808
288;811
289;813
290;815
291;817
291;819
291;821
292;823
291;825
289;827
288;829
289;831
289;833
290;835
291;837
292;839
292;841
292;843
291;845
290;847
289;849
289;851
291;854
291;856
292;858
292;860
293;862
292;864
289;866
286;868
284;870
284;872
286;874
287;876
288;878
290;880
290;882
288;884
287;886
284;888
284;890
284;892
286;894
287;896
288;898
290;900
291;902
290;904
288;906
286;908
285;910
286;912
288;914
290;916
291;918
293;920
294;922
293;924
292;926
289;928
288;930
289;932
291;934
293;936
295;939
296;941
298;943
297;945
295;947
294;949
293;951
295;953
297;955
299;957
301;959
302;961
302;963
300;965
298;967
296;969
296;971
297;973
298;975
300;977
301;979
301;982
301;984
299;986
297;988
294;990
294;992
296;994
297;996
298;998
299;1000
300;1002
299;1004
297;1006
294;1008
293;1010
293;1012
295;1014
296;1016
298;1018
299;1020
299;1022
299;1024
297;1026
295;1028
292;1030
292;1032
294;1034
295;1036
297;1038
298;1040
299;1042
298;1044
296;1046
294;1048
293;1050
292;1052
292;1054
293;1056
293;1058
292;1060
292;1062
289;1064
286;1067
283;1069
282;1071
284;1073
289;1075
294;1077
302;1079
309;1081
317;1083
323;1085
329;1087
335;1089
341;1091
347;1093
353;1095
355;1097
356;1099
354;1101
352;1103
348;1105
343;1107
338;1110
335;1112
334;1114
333;1116
332;1118
332;1120
331;1122
329;1124
325;1126
321;1128
318;1130
317;1132
316;1134
316;1136
316;1138
315;1140
314;1142
312;1144
309;1146
305;1148
303;1150
302;1152
302;1154
302;1156
303;1158
303;1160
303;1162
301;1164
299;1166
296;1168
293;1170
292;1172
293;1174
294;1176
295;1178
296;1180
296;1182
294;1184
292;1186
289;1188
288;1190
288;1192
289;1195
290;1197
291;1199
292;1201
292;1203
291;1205
289;1207
287;1209
285;1211
286;1213
287;1215
288;1217
290;1219
291;1221
291;1223
290;1225
288;1227
286;1229
285;1231
286;1233
288;1235
290;1238
291;1240
291;1242
292;1244
290;1246
288;1248
286;1250
286;1252
288;1254
289;1256
291;1258
292;1260
293;1262
293;1264
291;1266
289;1268
288;1270
288;1272
290;1274
292;1276
293;1278
294;1280
295;1282
295;1284
294;1286
292;1288
290;1290
290;1292
292;1294
293;1296
295;1298
297;1300
298;1302
298;1304
296;1306
294;1308
293;1310
293;1312
295;1314
297;1316
298;1318
300;1320
301;1323
301;1325
299;1327
297;1329
296;1331
297;1333
299;1335
300;1337
302;1339
304;1341
304;1343
303;1345
301;1347
299;1349
299;1351
300;1353
301;1355
303;1357
305;1359
305;1361
305;1363
304;1366
301;1368
299;1370
298;1372
299;1374
300;1376
301;1378
302;1380
303;1382
302;1384
300;1386
297;1388
295;1390
294;1392
295;1394
297;1396
297;1398
298;1400
298;1402
297;1404
295;1406
294;1408
292;1410
290;1412
291;1414
292;1416
294;1418
294;1420
295;1422
294;1424
292;1426
289;1428
287;1430
287;1432
288;1434
289;1436
290;1438
291;1440
292;1442
291;1444
289;1446
287;1448
285;1451
285;1453
286;1455
288;1457
289;1459
290;1461
291;1463
290;1465
288;1467
286;1469
284;1471
285;1473
286;1475
288;1477
289;1479
290;1481
291;1483
290;1485
287;1487
285;1489
285;1491
285;1494
287;1496
289;1498
290;1500
291;1502
292;1504
290;1506
288;1508
286;1510
286;1512
287;1514
289;1516
291;1518
292;1520
293;1522
293;1524
291;1526
289;1528
287;1530
287;1532
289;1534
289;1536
291;1538
293;1540
293;1542
294;1544
293;1546
290;1548
288;1550
288;1552
289;1554
291;1556
292;1558
294;1560
295;1562
295;1564
293;1566
290;1568
289;1570
288;1572
290;1574
292;1576
293;1579
294;1581
295;1583
295;1585
293;1587
290;1589
289;1591
289;1593
291;1595
292;1597
294;1599
295;1601
296;1603
295;1605
293;1607
290;1609
289;1611
290;1613
291;1615
293;1617
295;1619
296;1622
296;1624
295;1626
292;1628
290;1630
290;1632
291;1634
292;1636
294;1638
295;1640
296;1642
296;1644
295;1646
292;1648
290;1650
290;1652
291;1654
293;1656
295;1658
296;1660
297;1662
297;1664
296;1666
293;1668
291;1670
291;1672
292;1674
293;1676
294;1678
296;1680
297;1682
297;1684
296;1686
293;1688
291;1690
291;1692
292;1694
294;1696
295;1698
297;1700
298;1702
297;1704
296;1707
293;1709
292;1711
292;1713
294;1715
295;1717
297;1719
298;1721
299;1723
299;1725
297;1727
295;1729
294;1731
295;1733
296;1735
298;1737
300;1739
302;1741
302;1743
301;1745
299;1747
297;1750
295;1752
297;1754
298;1756
300;1758
301;1760
302;1762
301;1764
299;1766
297;1768
294;1770
293;1772
294;1774
295;1776
297;1778
298;1780
298;1782
298;1784
296;1786
293;1788
291;1790
291;1792
291;1794
293;1796
294;1798
295;1800
296;1802
297;1804
295;1806
293;1808
290;1810
289;1812
291;1814
292;1816
293;1818
295;1820
296;1822
296;1824
294;1826
292;1828
289;1830
289;1832
291;1835
292;1837
293;1839
294;1841
293;1843
292;1845
288;1847
284;1849
281;1851
280;1853
280;1855
281;1857
283;1859
287;1861
291;1863
295;1865
300;1867
305;1869
312;1871
321;1873
332;1875
341;1878
351;1880
357;1882
362;1884
362;1886
360;1888
356;1890
352;1892
350;1894
348;1896
347;1898
345;1900
344;1902
342;1904
339;1906
334;1908
330;1910
327;1912
327;1914
326;1916
325;1918
324;1920
323;1922
322;1924
319;1926
314;1928
310;1930
308;1932
306;1934
306;1936
306;1938
306;1940
306;1942
305;1944
302;1946
298;1948
295;1950
293;1952
293;1954
294;1956
294;1958
294;1960
295;1963
294;1965
291;1967
288;1969
285;1971
285;1973
286;1975
287;1977
288;1979
288;1981
289;1983
288;1985
286;1987
283;1989
281;1991
281;1993
282;1995
284;1997
285;1999
286;2001
287;2003
286;2006
283;2008
281;2010
280;2012
281;2014
282;2016
283;2018
285;2020
286;2022
287;2024
285;2026
283;2028
281;2030
280;2032
281;2034
283;2036
285;2038
286;2040
287;2042
288;2044
286;2046
285;2048
283;2050
281;2052
282;2054
284;2056
286;2058
288;2060
289;2062
290;2064
289;2066
287;2068
285;2070
284;2072
285;2074
287;2076
289;2078
291;2080
292;2082
293;2084
291;2086
289;2088
288;2091
287;2093
289;2095
291;2097
293;2099
295;2101
296;2103
296;2105
294;2107
293;2109
291;2111
291;2113
293;2115
295;2117
297;2119
299;2121
300;2123
300;2125
298;2127
296;2129
295;2131
295;2134
297;2136
299;2138
301;2140
303;2142
303;2144
302;2146
300;2148
298;2150
297;2152
297;2154
299;2156
301;2158
302;2160
303;2162
303;2164
302;2166
299;2168
297;2170
296;2172
297;2174
297;2176
299;2178
300;2180
301;2182
301;2184
300;2186
297;2188
295;2190
293;2192
294;2194
295;2196
296;2198
297;2200
298;2202
298;2204
297;2206
294;2208
291;2210
290;2212
291;2214
292;2216
294;2219
295;2221
295;2223
295;2225
294;2227
291;2229
289;2231
288;2233
289;2235
291;2237
292;2239
293;2241
294;2243
294;2245
292;2247
289;2249
287;2251
287;2253
289;2255
290;2257
292;2259
293;2262
294;2264
293;2266
291;2268
289;2270
287;2272
288;2274
289;2276
291;2278
293;2280
294;2282
294;2284
293;2286
