mV;time
0;0
307;2
307;4
305;6
304;8
301;10
303;12
301;14
300;16
299;18
298;20
298;22
296;24
295;26
295;28
294;30
293;32
292;34
290;36
290;38
289;40
289;43
288;45
286;47
287;49
286;51
286;53
286;55
289;57
284;59
284;61
284;63
283;65
282;67
282;69
282;71
282;73
282;75
281;77
281;79
281;81
280;83
280;86
280;88
280;90
280;92
280;94
279;96
280;98
280;100
280;102
280;104
280;106
280;108
279;110
280;112
279;114
279;116
279;118
280;120
280;122
281;124
280;126
280;128
280;130
281;132
281;134
281;136
281;138
282;140
282;142
282;144
282;146
282;148
283;150
283;152
283;154
282;156
283;158
284;160
284;162
284;164
287;166
285;168
285;171
285;173
285;175
286;177
285;179
286;181
287;183
287;185
287;187
287;189
287;191
287;193
287;195
287;197
288;199
288;201
288;203
288;205
288;207
288;209
289;211
289;214
289;216
289;218
289;220
289;222
289;224
289;226
290;228
290;230
290;232
292;234
290;236
290;238
290;240
290;242
291;244
291;246
291;248
292;250
291;252
291;254
292;256
292;258
292;260
292;262
292;264
292;266
291;268
291;270
291;272
291;274
294;276
292;278
292;280
292;282
292;284
292;286
293;288
293;290
292;292
293;294
293;296
292;299
292;301
293;303
293;305
292;307
293;309
293;311
293;313
293;315
293;317
293;319
293;321
293;323
293;325
294;327
293;329
293;331
294;333
293;335
293;337
294;339
294;342
293;344
293;346
294;348
294;350
294;352
293;354
294;356
294;358
293;360
294;362
293;364
294;366
294;368
294;370
294;372
294;374
294;376
294;378
294;380
294;382
294;384
295;386
294;388
295;390
294;392
294;394
294;396
294;398
294;400
295;402
295;404
295;406
295;408
295;410
295;412
294;414
295;416
295;418
295;420
295;422
295;424
294;427
295;429
295;431
295;433
295;435
295;437
296;439
295;441
296;443
296;445
297;447
297;449
297;451
295;453
297;455
298;457
299;459
299;461
299;463
300;465
300;467
300;470
300;472
300;474
301;476
300;478
301;480
301;482
300;484
300;486
300;488
300;490
300;492
300;494
300;496
300;498
298;500
300;502
299;504
298;506
298;508
302;510
298;512
298;514
299;516
297;518
297;520
297;522
296;524
296;526
296;528
296;530
296;532
296;534
296;536
295;538
295;540
295;542
295;544
295;546
295;548
295;550
294;552
294;555
295;557
294;559
294;561
291;563
294;565
294;567
294;569
294;571
294;573
294;575
294;577
293;579
293;581
293;583
291;585
290;587
289;589
288;591
286;593
284;595
284;598
284;600
285;602
288;604
292;606
298;608
302;610
312;612
321;614
329;616
335;618
344;620
341;622
342;624
339;626
336;628
333;630
329;632
324;634
320;636
314;638
312;640
305;642
300;644
295;646
290;648
287;650
284;652
282;654
279;656
278;658
276;660
274;662
274;664
275;666
275;668
276;670
274;672
277;674
278;676
279;678
280;680
278;683
282;685
282;687
283;689
283;691
285;693
286;695
286;697
287;699
288;701
289;703
289;705
290;707
290;709
291;711
292;713
293;715
293;717
292;719
294;721
295;723
296;726
295;728
301;730
297;732
298;734
298;736
298;738
299;740
299;742
299;744
300;746
300;748
301;750
300;752
301;754
301;756
302;758
302;760
303;762
303;764
303;766
303;768
303;770
304;772
304;774
304;776
305;778
305;780
303;782
305;784
306;786
305;788
305;790
308;792
306;794
307;796
307;798
307;800
307;802
307;804
308;806
308;808
308;811
309;813
308;815
309;817
309;819
309;821
310;823
310;825
311;827
310;829
311;831
311;833
311;835
312;837
315;839
313;841
314;843
314;845
314;847
315;849
316;851
315;854
317;856
317;858
318;860
318;862
318;864
319;866
320;868
320;870
321;872
321;874
322;876
322;878
323;880
322;882
323;884
324;886
324;888
324;890
324;892
324;894
324;896
324;898
324;900
329;902
324;904
324;906
323;908
323;910
322;912
322;914
321;916
321;918
320;920
319;922
318;924
317;926
316;928
315;930
314;932
313;934
312;936
310;939
309;941
308;943
307;945
305;947
306;949
304;951
303;953
301;955
300;957
299;959
297;961
297;963
296;965
295;967
294;969
293;971
292;973
291;975
290;977
289;979
289;982
288;984
288;986
286;988
286;990
285;992
285;994
284;996
284;998
284;1000
283;1002
282;1004
282;1006
281;1008
281;1010
281;1012
281;1014
279;1016
280;1018
280;1020
279;1022
280;1024
279;1026
280;1028
279;1030
279;1032
280;1034
279;1036
279;1038
279;1040
279;1042
279;1044
279;1046
279;1048
280;1050
279;1052
279;1054
279;1056
280;1058
280;1060
280;1062
279;1064
280;1067
280;1069
281;1071
280;1073
281;1075
281;1077
282;1079
282;1081
281;1083
282;1085
283;1087
282;1089
283;1091
283;1093
283;1095
284;1097
283;1099
284;1101
284;1103
285;1105
285;1107
286;1110
285;1112
285;1114
286;1116
286;1118
286;1120
287;1122
287;1124
285;1126
287;1128
287;1130
287;1132
287;1134
287;1136
288;1138
288;1140
289;1142
288;1144
289;1146
288;1148
289;1150
289;1152
289;1154
289;1156
290;1158
290;1160
290;1162
290;1164
290;1166
290;1168
290;1170
290;1172
290;1174
290;1176
291;1178
290;1180
291;1182
291;1184
291;1186
293;1188
291;1190
292;1192
291;1195
291;1197
291;1199
292;1201
292;1203
292;1205
292;1207
291;1209
292;1211
292;1213
292;1215
292;1217
292;1219
292;1221
293;1223
292;1225
292;1227
293;1229
293;1231
293;1233
290;1235
293;1238
293;1240
293;1242
293;1244
292;1246
294;1248
294;1250
294;1252
294;1254
293;1256
294;1258
293;1260
294;1262
294;1264
294;1266
293;1268
294;1270
293;1272
294;1274
294;1276
294;1278
295;1280
294;1282
294;1284
294;1286
294;1288
293;1290
294;1292
294;1294
295;1296
293;1298
295;1300
294;1302
295;1304
295;1306
296;1308
296;1310
296;1312
297;1314
296;1316
297;1318
297;1320
297;1323
298;1325
298;1327
299;1329
299;1331
300;1333
299;1335
300;1337
300;1339
301;1341
301;1343
298;1345
301;1347
300;1349
300;1351
300;1353
297;1355
300;1357
300;1359
300;1361
300;1363
299;1366
299;1368
300;1370
299;1372
299;1374
299;1376
298;1378
298;1380
298;1382
298;1384
297;1386
297;1388
297;1390
296;1392
297;1394
296;1396
296;1398
295;1400
299;1402
296;1404
296;1406
293;1408
295;1410
295;1412
295;1414
294;1416
295;1418
295;1420
295;1422
294;1424
293;1426
294;1428
294;1430
294;1432
294;1434
294;1436
294;1438
293;1440
293;1442
294;1444
294;1446
293;1448
293;1451
292;1453
288;1455
289;1457
288;1459
286;1461
285;1463
287;1465
284;1467
285;1469
288;1471
291;1473
295;1475
302;1477
309;1479
318;1481
326;1483
332;1485
336;1487
338;1489
338;1491
337;1494
335;1496
332;1498
329;1500
324;1502
320;1504
315;1506
310;1508
304;1510
301;1512
294;1514
289;1516
286;1518
283;1520
280;1522
278;1524
276;1526
275;1528
274;1530
274;1532
274;1534
274;1536
275;1538
276;1540
276;1542
278;1544
279;1546
280;1548
280;1550
282;1552
282;1554
283;1556
284;1558
285;1560
286;1562
285;1564
287;1566
288;1568
289;1570
290;1572
295;1574
292;1576
293;1579
293;1581
293;1583
294;1585
295;1587
296;1589
297;1591
297;1593
298;1595
298;1597
298;1599
299;1601
300;1603
300;1605
301;1607
301;1609
301;1611
301;1613
302;1615
302;1617
303;1619
304;1622
304;1624
304;1626
304;1628
304;1630
305;1632
305;1634
305;1636
306;1638
306;1640
307;1642
306;1644
307;1646
307;1648
307;1650
308;1652
308;1654
308;1656
308;1658
309;1660
309;1662
309;1664
309;1666
309;1668
310;1670
310;1672
310;1674
310;1676
310;1678
310;1680
311;1682
315;1684
312;1686
312;1688
312;1690
312;1692
313;1694
313;1696
313;1698
314;1700
315;1702
315;1704
315;1707
316;1709
316;1711
316;1713
317;1715
317;1717
318;1719
318;1721
319;1723
319;1725
320;1727
320;1729
321;1731
321;1733
322;1735
322;1737
323;1739
323;1741
324;1743
324;1745
325;1747
325;1750
326;1752
325;1754
325;1756
326;1758
325;1760
326;1762
326;1764
326;1766
326;1768
326;1770
325;1772
325;1774
324;1776
324;1778
323;1780
323;1782
321;1784
321;1786
319;1788
319;1790
318;1792
319;1794
317;1796
316;1798
314;1800
313;1802
311;1804
311;1806
310;1808
309;1810
307;1812
306;1814
305;1816
304;1818
302;1820
301;1822
299;1824
299;1826
298;1828
297;1830
295;1832
295;1835
294;1837
293;1839
292;1841
291;1843
291;1845
289;1847
288;1849
288;1851
288;1853
286;1855
287;1857
286;1859
286;1861
284;1863
284;1865
284;1867
284;1869
282;1871
282;1873
282;1875
282;1878
281;1880
281;1882
281;1884
281;1886
281;1888
280;1890
280;1892
280;1894
279;1896
279;1898
279;1900
279;1902
280;1904
280;1906
277;1908
279;1910
279;1912
280;1914
280;1916
276;1918
280;1920
280;1922
280;1924
280;1926
280;1928
280;1930
281;1932
281;1934
281;1936
282;1938
282;1940
282;1942
281;1944
282;1946
283;1948
283;1950
283;1952
284;1954
283;1956
283;1958
283;1960
284;1963
284;1965
285;1967
285;1969
283;1971
286;1973
285;1975
285;1977
286;1979
286;1981
287;1983
286;1985
287;1987
287;1989
287;1991
287;1993
287;1995
288;1997
288;1999
288;2001
288;2003
289;2006
289;2008
288;2010
288;2012
289;2014
289;2016
287;2018
289;2020
289;2022
290;2024
290;2026
291;2028
290;2030
290;2032
290;2034
290;2036
290;2038
291;2040
291;2042
291;2044
291;2046
291;2048
292;2050
291;2052
291;2054
291;2056
291;2058
292;2060
292;2062
292;2064
292;2066
292;2068
292;2070
292;2072
292;2074
292;2076
292;2078
290;2080
292;2082
292;2084
292;2086
293;2088
293;2091
293;2093
293;2095
293;2097
293;2099
293;2101
293;2103
293;2105
294;2107
294;2109
294;2111
293;2113
293;2115
294;2117
294;2119
294;2121
294;2123
294;2125
292;2127
294;2129
294;2131
294;2134
294;2136
299;2138
295;2140
295;2142
294;2144
295;2146
295;2148
296;2150
296;2152
296;2154
296;2156
297;2158
297;2160
296;2162
297;2164
297;2166
298;2168
298;2170
298;2172
299;2174
299;2176
299;2178
300;2180
300;2182
301;2184
302;2186
302;2188
298;2190
302;2192
302;2194
301;2196
301;2198
299;2200
301;2202
301;2204
301;2206
301;2208
301;2210
301;2212
301;2214
301;2216
301;2219
301;2221
300;2223
300;2225
300;2227
299;2229
299;2231
299;2233
298;2235
296;2237
298;2239
298;2241
296;2243
296;2245
301;2247
296;2249
296;2251
295;2253
295;2255
295;2257
295;2259
295;2262
295;2264
295;2266
295;2268
294;2270
294;2272
294;2274
294;2276
294;2278
294;2280
294;2282
293;2284
293;2286
293;2288
293;2290
293;2292
294;2294
294;2296
294;2298
293;2300
293;2302
292;2304
291;2306
290;2308
288;2310
288;2312
286;2314
285;2316
284;2318
285;2320
287;2322
290;2324
294;2326
300;2328
307;2330
315;2332
323;2334
330;2336
336;2338
340;2340
343;2342
343;2344
340;2347
338;2349
335;2351
331;2353
327;2355
325;2357
318;2359
312;2361
306;2363
301;2365
296;2367
292;2369
289;2371
286;2373
283;2375
281;2377
279;2379
278;2381
277;2383
277;2385
277;2387
278;2390
278;2392
279;2394
280;2396
280;2398
281;2400
282;2402
283;2404
283;2406
284;2408
284;2410
286;2412
286;2414
287;2416
288;2418
288;2420
289;2422
291;2424
290;2426
290;2428
291;2430
292;2432
292;2434
293;2436
294;2438
294;2440
295;2442
295;2444
295;2446
296;2448
297;2450
297;2452
298;2454
298;2456
298;2458
299;2460
300;2462
299;2464
302;2466
301;2468
301;2470
301;2472
301;2475
302;2477
302;2479
302;2481
303;2483
303;2485
303;2487
303;2489
304;2491
304;2493
304;2495
304;2497
305;2499
305;2501
306;2503
305;2505
306;2507
306;2509
305;2511
306;2513
307;2515
307;2518
307;2520
307;2522
307;2524
307;2526
307;2528
308;2530
309;2532
308;2534
309;2536
309;2538
309;2540
310;2542
310;2544
311;2546
311;2548
311;2550
312;2552
312;2554
313;2556
313;2558
313;2560
314;2562
314;2564
315;2566
315;2568
316;2570
316;2572
317;2574
318;2576
318;2578
319;2580
319;2582
319;2584
320;2586
320;2588
321;2590
322;2592
322;2594
323;2596
323;2598
323;2600
323;2603
323;2605
324;2607
324;2609
325;2611
324;2613
325;2615
325;2617
324;2619
324;2621
325;2623
324;2625
324;2627
323;2629
322;2631
322;2633
321;2635
320;2637
320;2639
319;2641
315;2643
317;2646
315;2648
314;2650
313;2652
312;2654
311;2656
310;2658
309;2660
307;2662
306;2664
306;2666
304;2668
303;2670
302;2672
301;2674
300;2676
299;2678
297;2680
296;2682
295;2684
295;2686
294;2688
294;2690
293;2692
292;2694
290;2696
290;2698
289;2700
288;2702
288;2704
287;2706
286;2708
286;2710
285;2712
285;2714
284;2716
284;2718
283;2720
283;2722
283;2724
282;2726
282;2728
281;2731
281;2733
281;2735
281;2737
280;2739
280;2741
279;2743
279;2745
279;2747
280;2749
279;2751
276;2753
279;2755
279;2757
279;2759
279;2761
279;2763
279;2765
279;2767
279;2769
279;2771
279;2774
279;2776
279;2778
280;2780
280;2782
280;2784
280;2786
281;2788
281;2790
280;2792
281;2794
281;2796
282;2798
280;2800
282;2802
282;2804
282;2806
282;2808
287;2810
283;2812
284;2814
284;2816
284;2818
284;2820
284;2822
285;2824
285;2826
285;2828
285;2830
286;2832
286;2834
286;2836
285;2838
285;2840
286;2842
287;2844
287;2846
287;2848
287;2850
287;2852
287;2854
287;2856
288;2859
288;2861
285;2863
289;2865
288;2867
289;2869
289;2871
288;2873
289;2875
289;2877
290;2879
289;2881
289;2883
290;2885
289;2887
290;2889
290;2891
290;2893
290;2895
290;2897
290;2899
291;2902
290;2904
291;2906
291;2908
289;2910
291;2912
291;2914
291;2916
291;2918
295;2920
292;2922
292;2924
291;2926
292;2928
291;2930
292;2932
291;2934
292;2936
292;2938
292;2940
292;2942
292;2944
292;2946
292;2948
291;2950
292;2952
292;2954
292;2956
292;2958
293;2960
292;2962
293;2964
292;2966
293;2968
293;2970
290;2972
292;2974
293;2976
293;2978
293;2980
293;2982
293;2984
293;2987
294;2989
293;2991
293;2993
294;2995
293;2997
294;2999
294;3001
294;3003
294;3005
293;3007
294;3009
293;3011
294;3013
294;3015
294;3017
293;3019
294;3021
293;3023
294;3025
293;3027
297;3030
294;3032
294;3034
294;3036
294;3038
294;3040
294;3042
294;3044
294;3046
294;3048
294;3050
294;3052
294;3054
295;3056
294;3058
294;3060
295;3062
295;3064
295;3066
295;3068
295;3070
295;3072
295;3074
295;3076
295;3078
295;3080
293;3082
295;3084
295;3086
295;3088
296;3090
299;3092
295;3094
295;3096
295;3098
296;3100
295;3102
296;3104
297;3106
297;3108
298;3110
298;3112
298;3115
298;3117
299;3119
299;3121
299;3123
300;3125
300;3127
300;3129
301;3131
301;3133
301;3135
301;3137
303;3139
301;3141
301;3143
301;3145
301;3147
300;3149
300;3151
300;3153
301;3155
301;3158
301;3160
301;3162
301;3164
300;3166
299;3168
300;3170
300;3172
299;3174
299;3176
298;3178
298;3180
298;3182
298;3184
298;3186
298;3188
297;3190
297;3192
296;3194
296;3196
296;3198
296;3200
301;3202
296;3204
296;3206
295;3208
295;3210
296;3212
295;3214
296;3216
295;3218
295;3220
295;3222
295;3224
295;3226
294;3228
295;3230
294;3232
295;3234
295;3236
295;3238
294;3240
294;3243
294;3245
293;3247
293;3249
291;3251
289;3253
288;3255
287;3257
285;3259
285;3261
285;3263
287;3265
290;3267
295;3269
300;3271
306;3273
315;3275
323;3277
331;3279
338;3281
342;3283
345;3286
344;3288
343;3290
340;3292
336;3294
333;3296
328;3298
324;3300
317;3302
312;3304
307;3306
302;3308
297;3310
294;3312
290;3314
284;3316
285;3318
283;3320
280;3322
279;3324
279;3326
279;3328
280;3330
280;3332
279;3334
281;3336
281;3338
282;3340
282;3342
283;3344
284;3346
284;3348
284;3350
286;3352
286;3354
286;3356
288;3358
288;3360
289;3362
289;3364
290;3366
290;3368
291;3371
291;3373
292;3375
293;3377
295;3379
293;3381
294;3383
295;3385
295;3387
295;3389
296;3391
297;3393
297;3395
297;3397
298;3399
298;3401
298;3403
299;3405
299;3407
300;3409
299;3411
300;3414
300;3416
301;3418
301;3420
302;3422
302;3424
298;3426
302;3428
302;3430
302;3432
302;3434
302;3436
303;3438
303;3440
304;3442
303;3444
304;3446
304;3448
304;3450
305;3452
305;3454
305;3456
305;3458
305;3460
306;3462
305;3464
306;3466
306;3468
306;3470
306;3472
307;3474
307;3476
307;3478
307;3480
307;3482
308;3484
308;3486
309;3488
308;3490
308;3492
309;3494
310;3496
309;3499
311;3501
311;3503
311;3505
312;3507
311;3509
312;3511
312;3513
314;3515
314;3517
315;3519
315;3521
315;3523
316;3525
316;3527
317;3529
318;3531
318;3533
315;3535
319;3537
320;3539
320;3542
320;3544
320;3546
321;3548
322;3550
322;3552
321;3554
322;3556
322;3558
322;3560
322;3562
322;3564
322;3566
322;3568
321;3570
321;3572
321;3574
320;3576
320;3578
319;3580
317;3582
318;3584
317;3586
316;3588
315;3590
314;3592
314;3594
313;3596
309;3598
309;3600
309;3602
308;3604
307;3606
306;3608
305;3610
304;3612
303;3614
301;3616
300;3618
299;3620
298;3622
297;3624
296;3627
296;3629
294;3631
293;3633
292;3635
291;3637
291;3639
290;3641
289;3643
285;3645
288;3647
286;3649
286;3651
285;3653
284;3655
285;3657
284;3659
283;3661
283;3663
282;3665
282;3667
282;3670
281;3672
281;3674
281;3676
280;3678
280;3680
280;3682
280;3684
279;3686
279;3688
279;3690
278;3692
279;3694
279;3696
279;3698
278;3700
281;3702
279;3704
279;3706
278;3708
278;3710
278;3712
279;3714
278;3716
278;3718
279;3720
279;3722
279;3724
279;3726
279;3728
280;3730
279;3732
280;3734
280;3736
280;3738
280;3740
281;3742
281;3744
281;3746
281;3748
282;3750
282;3752
280;3755
282;3757
283;3759
283;3761
283;3763
287;3765
284;3767
284;3769
284;3771
285;3773
285;3775
285;3777
285;3779
286;3781
286;3783
286;3785
286;3787
287;3789
286;3791
287;3793
287;3795
287;3798
288;3800
287;3802
288;3804
287;3806
288;3808
288;3810
290;3812
289;3814
289;3816
289;3818
289;3820
288;3822
289;3824
289;3826
289;3828
290;3830
290;3832
289;3834
290;3836
290;3838
290;3840
290;3842
290;3844
290;3846
291;3848
290;3850
291;3852
291;3854
291;3856
291;3858
291;3860
291;3862
289;3864
292;3866
291;3868
291;3870
291;3872
296;3874
292;3876
292;3878
292;3880
291;3883
292;3885
292;3887
293;3889
292;3891
293;3893
293;3895
292;3897
293;3899
292;3901
293;3903
293;3905
293;3907
293;3909
293;3911
292;3913
293;3915
293;3917
293;3919
294;3921
294;3923
293;3926
293;3928
293;3930
293;3932
294;3934
293;3936
293;3938
294;3940
294;3942
293;3944
294;3946
294;3948
294;3950
294;3952
294;3954
294;3956
295;3958
293;3960
294;3962
294;3964
293;3966
294;3968
294;3970
294;3972
294;3974
294;3976
294;3978
294;3980
294;3982
298;3984
295;3986
295;3988
295;3990
295;3992
295;3994
294;3996
294;3998
295;4000
295;4002
295;4004
295;4006
295;4008
294;4011
294;4013
294;4015
295;4017
295;4019
295;4021
296;4023
295;4025
296;4027
296;4029
297;4031
297;4033
297;4035
297;4037
297;4039
298;4041
299;4043
300;4045
300;4047
300;4049
301;4051
300;4054
300;4056
299;4058
300;4060
300;4062
300;4064
300;4066
300;4068
300;4070
299;4072
299;4074
299;4076
300;4078
300;4080
300;4082
299;4084
299;4086
298;4088
298;4090
298;4092
298;4094
298;4096
298;4098
297;4100
297;4102
297;4104
296;4106
296;4108
297;4110
296;4112
296;4114
296;4116
295;4118
296;4120
296;4122
295;4124
296;4126
296;4128
296;4130
295;4132
295;4134
294;4136
295;4139
295;4141
295;4143
295;4145
295;4147
295;4149
295;4151
295;4153
295;4155
295;4157
295;4159
295;4161
294;4163
293;4165
292;4167
290;4169
289;4171
287;4173
286;4175
285;4177
285;4179
286;4182
288;4184
291;4186
296;4188
302;4190
310;4192
318;4194
326;4196
332;4198
337;4200
340;4202
342;4204
341;4206
334;4208
335;4210
331;4212
328;4214
323;4216
316;4218
313;4220
308;4222
305;4224
299;4226
294;4228
289;4230
286;4232
284;4234
282;4236
280;4238
278;4240
276;4242
275;4244
275;4246
276;4248
277;4250
277;4252
278;4254
279;4256
280;4258
280;4260
281;4262
282;4264
283;4267
284;4269
282;4271
285;4273
285;4275
286;4277
287;4279
288;4281
289;4283
290;4285
291;4287
291;4289
292;4291
292;4293
293;4295
294;4297
294;4299
295;4301
296;4303
295;4305
296;4307
297;4310
298;4312
298;4314
299;4316
296;4318
299;4320
300;4322
300;4324
301;4326
301;4328
301;4330
302;4332
302;4334
302;4336
302;4338
303;4340
303;4342
304;4344
304;4346
304;4348
304;4350
304;4352
304;4354
305;4356
305;4358
305;4360
306;4362
306;4364
306;4366
306;4368
307;4370
307;4372
307;4374
307;4376
307;4378
305;4380
308;4382
308;4384
308;4386
309;4388
309;4390
309;4392
310;4395
310;4397
310;4399
310;4401
311;4403
311;4405
312;4407
312;4409
312;4411
313;4413
312;4415
314;4417
313;4419
314;4421
315;4423
315;4425
313;4427
316;4429
316;4431
317;4433
318;4435
322;4438
319;4440
319;4442
319;4444
320;4446
320;4448
321;4450
321;4452
322;4454
322;4456
323;4458
323;4460
323;4462
324;4464
323;4466
324;4468
325;4470
325;4472
324;4474
325;4476
325;4478
325;4480
324;4482
325;4484
324;4486
324;4488
320;4490
323;4492
322;4494
321;4496
321;4498
318;4500
319;4502
318;4504
317;4506
316;4508
315;4510
314;4512
312;4514
312;4516
311;4518
310;4520
308;4523
307;4525
306;4527
304;4529
303;4531
303;4533
302;4535
298;4537
300;4539
297;4541
297;4543
296;4545
299;4547
294;4549
293;4551
292;4553
291;4555
290;4557
289;4559
288;4561
288;4563
287;4566
286;4568
285;4570
285;4572
284;4574
283;4576
283;4578
283;4580
282;4582
281;4584
282;4586
281;4588
281;4590
280;4592
281;4594
280;4596
280;4598
280;4600
279;4602
279;4604
279;4606
279;4608
276;4610
279;4612
279;4614
279;4616
278;4618
278;4620
278;4622
278;4624
279;4626
279;4628
279;4630
279;4632
278;4634
279;4636
279;4638
279;4640
279;4642
279;4644
279;4646
279;4648
280;4651
280;4653
280;4655
283;4657
281;4659
281;4661
281;4663
281;4665
281;4667
282;4669
282;4671
283;4673
283;4675
283;4677
283;4679
283;4681
283;4683
283;4685
283;4687
284;4689
285;4691
285;4694
285;4696
285;4698
285;4700
285;4702
286;4704
286;4706
287;4708
286;4710
287;4712
287;4714
287;4716
287;4718
287;4720
288;4722
289;4724
288;4726
288;4728
288;4730
288;4732
289;4734
289;4736
289;4738
289;4740
289;4742
289;4744
289;4746
289;4748
289;4750
290;4752
290;4754
289;4756
289;4758
289;4760
290;4762
290;4764
292;4766
291;4768
291;4770
290;4772
291;4774
291;4776
291;4779
291;4781
291;4783
291;4785
292;4787
291;4789
291;4791
291;4793
291;4795
292;4797
292;4799
292;4801
292;4803
292;4805
292;4807
292;4809
292;4811
293;4813
293;4815
293;4817
293;4819
292;4822
292;4824
292;4826
292;4828
293;4830
293;4832
293;4834
293;4836
293;4838
293;4840
293;4842
293;4844
294;4846
294;4848
294;4850
294;4852
294;4854
294;4856
294;4858
294;4860
294;4862
294;4864
294;4866
293;4868
294;4870
294;4872
294;4874
295;4876
294;4878
295;4880
294;4882
294;4884
295;4886
296;4888
295;4890
296;4892
296;4894
297;4896
297;4898
297;4900
297;4902
298;4904
299;4907
299;4909
299;4911
300;4913
299;4915
300;4917
300;4919
300;4921
301;4923
301;4925
301;4927
300;4929
300;4931
300;4933
300;4935
300;4937
300;4939
300;4941
298;4943
299;4945
299;4947
300;4950
300;4952
299;4954
299;4956
299;4958
299;4960
298;4962
298;4964
297;4966
297;4968
297;4970
297;4972
297;4974
296;4976
296;4978
296;4980
296;4982
296;4984
296;4986
296;4988
293;4990
295;4992
295;4994
295;4996
294;4998
295;5000
295;5002
295;5004
295;5006
294;5008
295;5010
294;5012
294;5014
294;5016
295;5018
295;5020
295;5022
294;5024
294;5026
294;5028
294;5030
293;5032
292;5035
291;5037
290;5039
288;5041
287;5043
287;5045
286;5047
286;5049
288;5051
288;5053
295;5055
301;5057
307;5059
315;5061
324;5063
331;5065
337;5067
341;5069
342;5071
342;5073
340;5075
338;5078
335;5080
332;5082
328;5084
323;5086
318;5088
313;5090
308;5092
302;5094
298;5096
294;5098
288;5100
287;5102
285;5104
282;5106
281;5108
284;5110
279;5112
279;5114
279;5116
280;5118
279;5120
280;5122
281;5124
281;5126
283;5128
284;5130
285;5132
285;5134
286;5136
286;5138
287;5140
288;5142
289;5144
289;5146
289;5148
290;5150
291;5152
292;5154
293;5156
294;5158
294;5160
292;5163
295;5165
296;5167
296;5169
297;5171
296;5173
298;5175
298;5177
298;5179
299;5181
299;5183
300;5185
300;5187
301;5189
301;5191
302;5193
301;5195
302;5197
302;5199
303;5201
303;5203
303;5206
303;5208
302;5210
304;5212
304;5214
304;5216
304;5218
309;5220
305;5222
305;5224
305;5226
305;5228
306;5230
305;5232
306;5234
306;5236
306;5238
307;5240
306;5242
306;5244
308;5246
307;5248
308;5250
308;5252
308;5254
308;5256
308;5258
308;5260
309;5262
309;5264
309;5266
310;5268
310;5270
306;5272
310;5274
311;5276
311;5278
311;5280
308;5282
312;5284
312;5286
312;5288
313;5291
313;5293
313;5295
314;5297
315;5299
315;5301
316;5303
316;5305
316;5307
317;5309
318;5311
318;5313
319;5315
319;5317
318;5319
320;5321
320;5323
321;5325
321;5327
325;5329
322;5331
323;5334
322;5336
323;5338
322;5340
323;5342
323;5344
323;5346
323;5348
323;5350
322;5352
322;5354
321;5356
321;5358
321;5360
320;5362
320;5364
319;5366
318;5368
317;5370
316;5372
315;5374
315;5376
314;5378
313;5380
309;5382
310;5384
309;5386
308;5388
307;5390
309;5392
305;5394
304;5396
302;5398
301;5400
299;5402
299;5404
297;5406
297;5408
296;5410
295;5412
294;5414
292;5416
291;5419
291;5421
289;5423
289;5425
289;5427
287;5429
287;5431
286;5433
285;5435
285;5437
287;5439
284;5441
283;5443
282;5445
282;5447
281;5449
281;5451
281;5453
281;5455
280;5457
280;5459
280;5462
279;5464
279;5466
279;5468
278;5470
279;5472
279;5474
278;5476
278;5478
278;5480
278;5482
278;5484
278;5486
278;5488
278;5490
278;5492
278;5494
278;5496
278;5498
278;5500
279;5502
279;5504
279;5506
279;5508
279;5510
279;5512
280;5514
279;5516
280;5518
280;5520
280;5522
280;5524
281;5526
281;5528
280;5530
281;5532
281;5534
282;5536
281;5538
282;5540
282;5542
282;5544
282;5547
284;5549
284;5551
284;5553
284;5555
284;5557
284;5559
284;5561
285;5563
285;5565
285;5567
285;5569
285;5571
285;5573
286;5575
286;5577
286;5579
286;5581
287;5583
287;5585
287;5587
287;5590
287;5592
287;5594
288;5596
288;5598
288;5600
288;5602
288;5604
288;5606
288;5608
288;5610
289;5612
289;5614
288;5616
289;5618
290;5620
289;5622
290;5624
290;5626
290;5628
291;5630
290;5632
290;5634
290;5636
291;5638
291;5640
291;5642
291;5644
291;5646
291;5648
292;5650
292;5652
291;5654
291;5656
292;5658
292;5660
292;5662
292;5664
292;5666
292;5668
292;5670
292;5672
293;5675
293;5677
294;5679
293;5681
293;5683
293;5685
293;5687
293;5689
293;5691
294;5693
293;5695
293;5697
294;5699
293;5701
294;5703
294;5705
294;5707
294;5709
293;5711
294;5713
293;5715
294;5718
294;5720
294;5722
295;5724
291;5726
294;5728
294;5730
295;5732
294;5734
294;5736
295;5738
295;5740
295;5742
295;5744
295;5746
294;5748
295;5750
295;5752
295;5754
295;5756
295;5758
295;5760
295;5762
295;5764
295;5766
295;5768
296;5770
295;5772
295;5774
295;5776
295;5778
295;5780
295;5782
296;5784
296;5786
298;5788
295;5790
296;5792
296;5794
295;5796
296;5798
296;5800
297;5803
297;5805
297;5807
298;5809
