mV;time
0;0
285;2
285;4
285;6
285;8
286;10
286;12
286;14
286;16
287;18
287;20
287;22
287;24
288;26
288;28
287;30
289;32
288;34
289;36
289;38
289;40
290;43
290;45
290;47
291;49
290;51
290;53
291;55
291;57
291;59
292;61
291;63
291;65
291;67
292;69
293;71
292;73
292;75
290;77
291;79
292;81
292;83
292;86
293;88
292;90
293;92
293;94
291;96
292;98
292;100
292;102
292;104
292;106
292;108
292;110
292;112
292;114
292;116
293;118
293;120
293;122
292;124
292;126
293;128
292;130
293;132
292;134
293;136
293;138
290;140
293;142
293;144
293;146
293;148
293;150
293;152
293;154
292;156
292;158
292;160
292;162
291;164
292;166
291;168
291;171
291;173
291;175
292;177
292;179
292;181
293;183
294;185
292;187
294;189
295;191
296;193
295;195
299;197
296;199
296;201
295;203
295;205
296;207
298;209
297;211
298;214
298;216
297;218
296;220
296;222
296;224
296;226
297;228
297;230
296;232
295;234
294;236
292;238
292;240
292;242
294;244
292;246
292;248
290;250
290;252
290;254
289;256
290;258
290;260
292;262
293;264
293;266
294;268
294;270
293;272
293;274
294;276
295;278
295;280
295;282
295;284
295;286
295;288
295;290
295;292
295;294
292;296
293;299
293;301
293;303
295;305
298;307
295;309
294;311
293;313
293;315
293;317
293;319
293;321
293;323
292;325
290;327
287;329
286;331
282;333
280;335
278;337
277;339
276;342
276;344
276;346
278;348
282;350
289;352
299;354
307;356
316;358
327;360
339;362
351;364
362;366
371;368
378;370
381;372
382;374
380;376
378;378
374;380
371;382
368;384
365;386
362;388
359;390
354;392
350;394
345;396
340;398
335;400
332;402
329;404
326;406
324;408
322;410
319;412
317;414
317;416
310;418
306;420
303;422
301;424
298;427
296;429
295;431
294;433
293;435
291;437
289;439
288;441
287;443
286;445
284;447
284;449
283;451
283;453
282;455
280;457
279;459
278;461
278;463
277;465
277;467
277;470
277;472
278;474
278;476
278;478
277;480
277;482
276;484
275;486
275;488
274;490
275;492
275;494
276;496
275;498
274;500
275;502
273;504
273;506
274;508
274;510
275;512
275;514
273;516
274;518
274;520
274;522
274;524
278;526
275;528
275;530
275;532
275;534
275;536
273;538
274;540
273;542
274;544
275;546
276;548
276;550
276;552
277;555
277;557
278;559
278;561
279;563
278;565
278;567
278;569
279;571
280;573
280;575
281;577
281;579
281;581
280;583
281;585
281;587
281;589
281;591
282;593
283;595
284;598
284;600
284;602
284;604
285;606
285;608
285;610
285;612
286;614
287;616
287;618
288;620
289;622
290;624
291;626
290;628
291;630
291;632
292;634
293;636
293;638
293;640
292;642
293;644
294;646
294;648
296;650
297;652
297;654
298;656
299;658
298;660
298;662
298;664
299;666
300;668
300;670
300;672
298;674
299;676
297;678
296;680
298;683
298;685
298;687
297;689
298;691
297;693
297;695
297;697
296;699
296;701
297;703
295;705
294;707
294;709
295;711
294;713
294;715
294;717
294;719
294;721
292;723
293;726
292;728
291;730
290;732
289;734
290;736
289;738
290;740
289;742
290;744
291;746
291;748
288;750
291;752
291;754
291;756
290;758
291;760
292;762
292;764
293;766
293;768
293;770
292;772
293;774
293;776
294;778
294;780
294;782
295;784
295;786
295;788
296;790
296;792
296;794
295;796
294;798
295;800
294;802
293;804
293;806
294;808
294;811
295;813
294;815
293;817
295;819
295;821
295;823
295;825
295;827
295;829
295;831
295;833
295;835
295;837
295;839
296;841
296;843
297;845
297;847
297;849
297;851
297;854
298;856
298;858
295;860
298;862
298;864
298;866
297;868
296;870
297;872
297;874
298;876
297;878
298;880
298;882
