mV;time
645;288
643;290
645;292
644;294
641;296
644;299
643;301
644;303
644;305
645;307
644;309
644;311
643;313
641;315
640;317
639;319
639;321
642;323
644;325
644;327
644;329
643;331
641;333
638;335
638;337
637;339
638;342
639;344
644;346
644;348
644;350
643;352
646;354
642;356
642;358
642;360
644;362
644;364
644;366
644;368
644;370
645;372
644;374
644;376
644;378
644;380
644;382
644;384
644;386
644;388
645;390
643;392
643;394
644;396
644;398
644;400
644;402
645;404
641;406
644;408
643;410
644;412
644;414
649;416
644;418
644;420
644;422
643;424
645;427
643;429
644;431
644;433
644;435
644;437
644;439
644;441
644;443
644;445
644;447
645;449
644;451
643;453
644;455
644;457
644;459
644;461
647;463
645;465
645;467
643;470
644;472
643;474
645;476
645;478
645;480
645;482
644;484
644;486
644;488
644;490
644;492
644;494
644;496
645;498
645;500
644;502
644;504
644;506
644;508
645;510
645;512
645;514
642;516
644;518
644;520
644;522
644;524
650;526
645;528
645;530
643;532
644;534
643;536
645;538
644;540
645;542
645;544
645;546
644;548
644;550
643;552
643;555
644;557
644;559
645;561
644;563
644;565
645;567
644;569
644;571
646;573
645;575
644;577
643;579
643;581
644;583
644;585
644;587
645;589
644;591
644;593
644;595
644;598
644;600
644;602
645;604
645;606
645;608
645;610
643;612
645;614
644;616
644;618
645;620
645;622
645;624
644;626
644;628
645;630
643;632
644;634
645;636
645;638
645;640
644;642
644;644
644;646
643;648
644;650
645;652
644;654
645;656
644;658
644;660
644;662
644;664
643;666
645;668
645;670
644;672
644;674
644;676
643;678
644;680
645;683
645;685
645;687
643;689
644;691
644;693
644;695
644;697
644;699
645;701
645;703
644;705
644;707
644;709
644;711
644;713
644;715
644;717
644;719
644;721
644;723
644;726
643;728
645;730
644;732
644;734
644;736
644;738
644;740
643;742
644;744
645;746
645;748
640;750
643;752
645;754
644;756
644;758
644;760
645;762
645;764
645;766
644;768
644;770
644;772
644;774
644;776
645;778
645;780
644;782
644;784
644;786
644;788
644;790
645;792
644;794
645;796
644;798
644;800
644;802
644;804
644;806
644;808
644;811
645;813
643;815
644;817
644;819
644;821
644;823
644;825
644;827
644;829
644;831
643;833
644;835
644;837
644;839
644;841
645;843
644;845
644;847
644;849
644;851
644;854
644;856
644;858
640;860
644;862
645;864
644;866
644;868
645;870
645;872
644;874
